新聞‧財經,#genre#
倪珍播新聞,http://49.213.157.177:5050/channel?type=txt&token=Gya9aLFEWomo2prewaW56FE8u6baDFIBacFMsZ07zMThH4vEFv2v8voNWVWvQ9Qh&channel=nnews-zh
中天新聞台,http://49.213.157.177:5050/channel?type=txt&token=Gya9aLFEWomo2prewaW56FE8u6baDFIBacFMsZ07zMThH4vEFv2v8voNWVWvQ9Qh&channel=4gtv-4gtv009
台視新聞,http://49.213.157.177:5050/channel?type=txt&token=Gya9aLFEWomo2prewaW56FE8u6baDFIBacFMsZ07zMThH4vEFv2v8voNWVWvQ9Qh&channel=4gtv-4gtv051
華視新聞,http://49.213.157.177:5050/channel?type=txt&token=Gya9aLFEWomo2prewaW56FE8u6baDFIBacFMsZ07zMThH4vEFv2v8voNWVWvQ9Qh&channel=4gtv-4gtv052
中視新聞,http://49.213.157.177:5050/channel?type=txt&token=Gya9aLFEWomo2prewaW56FE8u6baDFIBacFMsZ07zMThH4vEFv2v8voNWVWvQ9Qh&channel=4gtv-4gtv074
國會頻道1台,http://49.213.157.177:5050/channel?type=txt&token=Gya9aLFEWomo2prewaW56FE8u6baDFIBacFMsZ07zMThH4vEFv2v8voNWVWvQ9Qh&channel=4gtv-4gtv084
國會頻道2台,http://49.213.157.177:5050/channel?type=txt&token=Gya9aLFEWomo2prewaW56FE8u6baDFIBacFMsZ07zMThH4vEFv2v8voNWVWvQ9Qh&channel=4gtv-4gtv085
第1商業台,http://49.213.157.177:5050/channel?type=txt&token=Gya9aLFEWomo2prewaW56FE8u6baDFIBacFMsZ07zMThH4vEFv2v8voNWVWvQ9Qh&channel=4gtv-4gtv104
寰宇新聞台灣台,http://49.213.157.177:5050/channel?type=txt&token=Gya9aLFEWomo2prewaW56FE8u6baDFIBacFMsZ07zMThH4vEFv2v8voNWVWvQ9Qh&channel=4gtv-4gtv156
寰宇財經台,http://49.213.157.177:5050/channel?type=txt&token=Gya9aLFEWomo2prewaW56FE8u6baDFIBacFMsZ07zMThH4vEFv2v8voNWVWvQ9Qh&channel=4gtv-4gtv158
寰宇新聞台,http://49.213.157.177:5050/channel?type=txt&token=Gya9aLFEWomo2prewaW56FE8u6baDFIBacFMsZ07zMThH4vEFv2v8voNWVWvQ9Qh&channel=litv-longturn14
三立新聞iNEWS,http://49.213.157.177:5050/channel?type=txt&token=Gya9aLFEWomo2prewaW56FE8u6baDFIBacFMsZ07zMThH4vEFv2v8voNWVWvQ9Qh&channel=iNEWS
掏掏新聞,http://49.213.157.177:5050/channel?type=txt&token=Gya9aLFEWomo2prewaW56FE8u6baDFIBacFMsZ07zMThH4vEFv2v8voNWVWvQ9Qh&channel=ofiii50
國際大小事,http://49.213.157.177:5050/channel?type=txt&token=Gya9aLFEWomo2prewaW56FE8u6baDFIBacFMsZ07zMThH4vEFv2v8voNWVWvQ9Qh&channel=ofiii55
第1財經,http://49.213.157.177:5050/channel?type=txt&token=Gya9aLFEWomo2prewaW56FE8u6baDFIBacFMsZ07zMThH4vEFv2v8voNWVWvQ9Qh&channel=ofiii64
大新聞大爆卦,http://49.213.157.177:5050/channel?type=txt&token=Gya9aLFEWomo2prewaW56FE8u6baDFIBacFMsZ07zMThH4vEFv2v8voNWVWvQ9Qh&channel=ofiii201
新聞大白話,http://49.213.157.177:5050/channel?type=txt&token=Gya9aLFEWomo2prewaW56FE8u6baDFIBacFMsZ07zMThH4vEFv2v8voNWVWvQ9Qh&channel=ofiii202
文茜的世界周報,http://49.213.157.177:5050/channel?type=txt&token=Gya9aLFEWomo2prewaW56FE8u6baDFIBacFMsZ07zMThH4vEFv2v8voNWVWvQ9Qh&channel=ofiii203
寰宇全視界,http://49.213.157.177:5050/channel?type=txt&token=Gya9aLFEWomo2prewaW56FE8u6baDFIBacFMsZ07zMThH4vEFv2v8voNWVWvQ9Qh&channel=ofiii204
文茜的世界財經周報,http://49.213.157.177:5050/channel?type=txt&token=Gya9aLFEWomo2prewaW56FE8u6baDFIBacFMsZ07zMThH4vEFv2v8voNWVWvQ9Qh&channel=ofiii205
少康戰情室,http://49.213.157.177:5050/channel?type=txt&token=Gya9aLFEWomo2prewaW56FE8u6baDFIBacFMsZ07zMThH4vEFv2v8voNWVWvQ9Qh&channel=ofiii207
國民大會,http://49.213.157.177:5050/channel?type=txt&token=Gya9aLFEWomo2prewaW56FE8u6baDFIBacFMsZ07zMThH4vEFv2v8voNWVWvQ9Qh&channel=ofiii208
台灣最前線,http://49.213.157.177:5050/channel?type=txt&token=Gya9aLFEWomo2prewaW56FE8u6baDFIBacFMsZ07zMThH4vEFv2v8voNWVWvQ9Qh&channel=ofiii209
台灣向前行,http://49.213.157.177:5050/channel?type=txt&token=Gya9aLFEWomo2prewaW56FE8u6baDFIBacFMsZ07zMThH4vEFv2v8voNWVWvQ9Qh&channel=ofiii210
民視異言堂,http://49.213.157.177:5050/channel?type=txt&token=Gya9aLFEWomo2prewaW56FE8u6baDFIBacFMsZ07zMThH4vEFv2v8voNWVWvQ9Qh&channel=ofiii211
新聞觀測站,http://49.213.157.177:5050/channel?type=txt&token=Gya9aLFEWomo2prewaW56FE8u6baDFIBacFMsZ07zMThH4vEFv2v8voNWVWvQ9Qh&channel=ofiii212
綜合,#genre#
